,word,sentiment_score,sentiment_label,sadness,joy,fear,disgust,anger
287,well  obviously  nobody's  going  to  pay  attention  to  me  if  I  don't  set  it  up  myself. ,-0.914949,negative,0.248263,0.27059,0.0987,0.052241,0.146236
288,So  that  was  all. ,0,neutral,0.0,0.0,0.0,0.0,0.0
289,"Well, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
290,and  the  other  thing  is  we're  going  to  be  teaching  this  class  on  that day. ,0.561667,positive,0.241751,0.451276,0.118816,0.049709,0.217149
291,Yeah. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
292,That's  where  I  got  thrown  off. ,-0.944205,negative,0.210554,0.020487,0.130657,0.390976,0.51977
293,I  just  thought  about  that. ,0,neutral,0.0,0.0,0.0,0.0,0.0
294,So  obviously  it  can't  go  down  to  my  folks. ,-0.918396,negative,0.236996,0.26208,0.04425,0.304069,0.322731
295,"Well, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
296,if  we  went  and  it  would  have  to  be  Saturday. ,0,neutral,0.157025,0.47162,0.103362,0.132361,0.080116
297,Yeah. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
298,"I  don't  think  to  drive  down  your  folks  after  the  class  and  Oh  no, ",-0.881996,negative,0.248553,0.195373,0.185215,0.194034,0.436338
299,"we're  all, ",0,neutral,0.0,0.0,0.0,0.0,0.0
300,we  can't  do  it. ,-0.804034,negative,0.0,0.0,0.0,0.0,0.0
301,"we  can't  do  it  because  we  have  the  commitment  of  that  on  Sunday, ",-0.69922,negative,0.047998,0.717067,0.069168,0.012805,0.014054
302,"which  I, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
303,I  forgot  about  it. ,-0.717299,negative,0.0,0.0,0.0,0.0,0.0
304,that  relieves  one  thing. ,0.800274,positive,0.02218,0.530852,0.107617,0.014585,0.046169
305,"But  no, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
306,I  thought  it  was  so  silly  that  your  mom  said  she  had  to  do  it  herself  or  something. ,-0.847527,negative,0.366821,0.117819,0.245339,0.136412,0.351971
307,Control. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
308,What  do  you  think  about  the  idea  of  saying  something? ,0,neutral,0.286127,0.215462,0.183401,0.16389,0.214097
309,I  don't  know  what  we  want  to  say. ,-0.594255,negative,0.246095,0.332342,0.153235,0.04963,0.088778
310,Anything  about  my  sister  to  her  about  the  four  of  us  doing  something  with  them  some other day. ,0.491388,positive,0.229857,0.439409,0.12338,0.047732,0.099857
311,I  don't  know. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
312,"I  don't  know  whether  that's  kind  of  the  way, ",0,neutral,0.193289,0.347948,0.093893,0.067043,0.147721
313,but  their  style. ,0.546749,positive,0.0,0.0,0.0,0.0,0.0
314,Yeah. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
315,"No, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
316,I  think  it  is  a  difference  of  style. ,0.892476,positive,0.033703,0.445895,0.097276,0.03737,0.125304
317,"Well, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
318,"yeah, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
319,but  you  can  also  point  up  to  say  you  can  reflect  people's  behavior  and  how  it  affects  you  <inaudible>  with  that. ,-0.243686,negative,0.541123,0.121836,0.135549,0.133652,0.299287
320,I  shouldn't  be  <inaudible>  that  shouldn't  be  a  problem. ,-0.973572,negative,0.709931,0.01096,0.327053,0.012883,0.152714
321,I  don't  think. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
322,"No, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
323,it  shouldn't  be. ,-0.782863,negative,0.0,0.0,0.0,0.0,0.0
324,But  sometimes  it  is. ,0,neutral,0.0,0.0,0.0,0.0,0.0
325,"Well, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
326,"yeah, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
327,"but  it's  just, ",0.372696,positive,0.0,0.0,0.0,0.0,0.0
328,"um, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
329,"I, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
330,I  just  think  it's  important  to  speak  out. ,0.637627,positive,0.074075,0.407736,0.113512,0.067938,0.119821
331,Put  the  cards  out  on  the  table. ,0,neutral,0.187942,0.174619,0.103047,0.119458,0.532778
332,She  lost  last  time  Lynch  did  that. ,-0.848213,negative,0.668746,0.007303,0.203275,0.087889,0.219166
333,She  lost  on  the  soft  stuff. ,-0.886386,negative,0.747422,0.016742,0.201078,0.106295,0.142167
334,"gosh, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
335,"I  feel  like  I  just  don't  have, ",-0.821624,negative,0.680299,0.150719,0.232489,0.045422,0.034415
336,"the  others, ",0,neutral,0.0,0.0,0.0,0.0,0.0
337,in  some  ways  it's  resolved. ,0.869095,positive,0.2769,0.053545,0.015989,0.032422,0.270588
338,Do  you  feel  resolved  about  the  other  situation? ,0,neutral,0.703441,0.038002,0.091868,0.069111,0.18593
339,"Well, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
340,"I  think  as  far  as  like, ",0,neutral,0.183084,0.248672,0.141985,0.317399,0.167814
341,"yeah, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
342,"going  back  to  the  first  part  with  the  church  and  the  the  groups, ",0,neutral,0.398921,0.47811,0.09057,0.026093,0.033764
343,"I  don't  feel, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
344,I  don't  feel  pressured  that  we  have. ,-0.882992,negative,0.164527,0.150439,0.102866,0.072571,0.090183
345,I  feel  that  it's  tonight  at  the  sense  of  sitting  here  and  talking  about  it  is  that  you're  more ,0.743902,positive,0.477639,0.101237,0.393351,0.05196,0.102463
346,calm. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
347,Yeah. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
348,"Oh  well  I  was  to  the  situation  before  it  just, ",0.528831,positive,0.363942,0.271742,0.381387,0.033476,0.031744
349,"I  was  feeling  that, ",0.587816,positive,0.0,0.0,0.0,0.0,0.0
350,"um, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
351,"Tuesday, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
352,"Wednesday, Thursday, Friday  and  all day Saturday  we  had  commitments. ",-0.422567,negative,0.067442,0.813313,0.093852,0.004677,0.011914
353,Right. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
354,"So  I  was  concerned  that  we  weren't  going  to  get, ",-0.906684,negative,0.153386,0.082257,0.261929,0.056988,0.102951
355,are  just  touching  bases. ,0.904381,positive,0.030242,0.176069,0.107796,0.107718,0.041065
356,That's  what  I  was  concerned  about. ,0,neutral,0.916667,0.0,1.0,0.0,0.0
357,"seem  calmer  about  the  whole  thing  about tonight  though, ",0.28539,positive,0.363441,0.399016,0.243809,0.015583,0.104252
358,that  you  did  Sunday  night. ,0,neutral,0.076313,0.70943,0.085832,0.015414,0.024285
359,"wasn't  sunny  was  last night, ",-0.835044,negative,0.389382,0.21477,0.335684,0.138704,0.09097
360,"well, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
361,Sunday  night  and ,0,neutral,0.076313,0.70943,0.085832,0.015414,0.024285
362,we  didn't  get  as  much  done  on  the  weekends. ,-0.745141,negative,0.251262,0.354172,0.149953,0.018194,0.073515
363,I  thought  we  would  with  that. ,0,neutral,0.220598,0.072283,0.269074,0.160114,0.219063
364,"And  this  again, ",0,neutral,0.0,0.0,0.0,0.0,0.0
365,I  just  think  it's  important  to  have  a  plan. ,0,neutral,0.128517,0.312171,0.165236,0.039642,0.114646
366,"That's  all  I  want  to  do  some  a  plan, ",0,neutral,0.286941,0.033604,0.134475,0.030496,0.167755
367,where  are  we  going? ,0,neutral,0.0,0.0,0.0,0.0,0.0
368,"Which  is  all, ",0,neutral,0.0,0.0,0.0,0.0,0.0
369,I  think  I  said  all  along. ,0,neutral,0.155568,0.337951,0.131423,0.06683,0.165836
370,Yeah. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
371,I  guess  the  stressful  part  for  me  is  trying  to  figure  out  just  how  detailed  that  plan  has  to  be. ,-0.865931,negative,0.522286,0.03874,0.408091,0.019185,0.240428
372,It  doesn't  have  to  be  that  detail. ,0,neutral,0.016929,0.151776,0.033788,0.028319,0.016419
373,"You're  going  to  partly  see, ",0,neutral,0.127531,0.18992,0.16613,0.061357,0.106599
374,"wait, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
375,"oops, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
376,I  forgot  about  that. ,-0.730241,negative,0.0,0.0,0.0,0.0,0.0
377,take  off  your  electrode. ,0,neutral,0.148094,0.065079,0.142824,0.106835,0.174184
378,you're  gonna  see  where  your  group  is  going. ,0,neutral,0.148897,0.255056,0.22093,0.074576,0.15886
379,"And  obviously  if  they  want  more, ",0,neutral,0.264732,0.115334,0.035917,0.306014,0.423462
380,"it's  just, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
381,it's  like  any  other  class  or  whatever. ,0,neutral,0.146603,0.518777,0.056121,0.084971,0.277208
382,"But  I  will, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
383,"in  addition  to  the  surveys, ",0,neutral,0.182193,0.204244,0.076691,0.137859,0.061393
384,I  acknowledge  it. ,0.720467,positive,0.0,0.0,0.0,0.0,0.0
385,"Say  that  though, ",0,neutral,0.565876,0.109523,0.336694,0.066161,0.096943
386,I  won't  go  back  over  those  five  elements  that ,-0.670343,negative,0.123472,0.116883,0.099932,0.02599,0.153273
387,"you  wanted  to  cover, ",0,neutral,0.279442,0.103427,0.131288,0.178987,0.115035
388,that  you  have  as  it  were. ,0,neutral,0.0,0.0,0.0,0.0,0.0
389,and  notes  about  that. ,0,neutral,0.0,0.0,0.0,0.0,0.0
390,"So, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
391,"and  we  should, ",0.616314,positive,0.0,0.0,0.0,0.0,0.0
392,I  think  we  should  go  one  more  step  with  that. ,0.6587,positive,0.277642,0.136647,0.282805,0.077588,0.160787
393,With  each  of  the  elements. ,0,neutral,0.0,0.0,0.0,0.0,0.0
394,We  should  probably  think  of  two  or  three  things  that  they  could  do. ,0,neutral,0.495869,0.182244,0.191817,0.064561,0.134294
395,"to  get  the  point  across, ",0,neutral,0.435597,0.168844,0.190225,0.059084,0.110832
396,wanting  to  do  the  homework  and  assignments. ,0,neutral,0.135695,0.109427,0.318122,0.205627,0.411463
397,"It's  going  to  be  a  little, ",0,neutral,0.421642,0.115508,0.426862,0.041945,0.162281
398,why  is  that  one  couple  living  together  or  what? ,0,neutral,0.148744,0.672696,0.056982,0.035005,0.061582
399,I  don't  know. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400,So  how  much  contact  did  they  have? ,0,neutral,0.125137,0.053098,0.033598,0.040147,0.090414
401,That's  that  would  make  a  difference  a  little  bit. ,0,neutral,0.130942,0.41369,0.107191,0.050044,0.137983
402,"Well, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
403,the  homework  assignments.,-0.494228,negative,0.086233,0.155751,0.32223,0.230354,0.366381
