,word,sentiment_score,sentiment_label,sadness,joy,fear,disgust,anger
287,"It  doesn't, ",-0.598563,negative,0.0,0.0,0.0,0.0,0.0
288,"it  needs  patients  and  it  needs  the  attitude  and  it  needs  a, ",0,neutral,0.391766,0.103128,0.080425,0.170725,0.185979
289,"I  mean, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
290,he's  no  dummy. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
291,"I  don't  think  they  know  how  to  manage  their  money  because, ",0,neutral,0.231674,0.168399,0.323893,0.069766,0.098803
292,well ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
293,they  shouldn't  have  gone  up  buying  two  new  cars. ,-0.906286,negative,0.22017,0.335448,0.120177,0.096188,0.129209
294,Come  on  know  that  that's  you. ,0,neutral,0.208407,0.193591,0.104834,0.064582,0.095771
295,"that's  you  could, ",0,neutral,0.0,0.0,0.0,0.0,0.0
296,"you  could  go  over  that  and  Ben  at  the  death, ",-0.863803,negative,0.818589,0.017783,0.185963,0.072979,0.031349
297,"you  wouldn't, ",0,neutral,0.151545,0.174219,0.093654,0.072945,0.08686
298,"there's  no  one  under, ",-0.600626,negative,0.174727,0.170666,0.093654,0.072945,0.08686
299,then  there's  nothing  food. ,-0.706594,negative,0.151545,0.174219,0.093654,0.072945,0.08686
300,"Talk  about  cat  because  that's  maybe, ",0,neutral,0.22664,0.060031,0.327206,0.103334,0.133072
301,"maybe  that's  one  of  the  things  that  we  should  show  them  that  you  can't  just  go  by, ",0.315436,positive,0.17066,0.258899,0.096193,0.118493,0.101584
302,go  out  and  buy  something  when  you  don't  have  the  money. ,-0.533077,negative,0.304586,0.213125,0.145658,0.201875,0.182312
303,"Well, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
304,they'll  use  excuses. ,0,neutral,0.134865,0.018028,0.088801,0.481185,0.341017
305,They  need  it. ,0,neutral,0.0,0.0,0.0,0.0,0.0
306,"They  need  it  for  transportation, ",0,neutral,0.23157,0.081537,0.175278,0.077742,0.096371
307,but  they  don't  need  to  have  big  car  for  transportation. ,0,neutral,0.167013,0.107655,0.324679,0.134849,0.153224
308,"You  can  buy  on  an  expensive  small, ",0,neutral,0.616212,0.037592,0.160473,0.185655,0.252791
309,"even  if  it's  second  hand  or  whatever, ",0,neutral,0.18356,0.576768,0.054509,0.121755,0.12919
310,third  hand  stone  as  it  runs. ,0,neutral,0.28353,0.460062,0.096772,0.086992,0.154963
311,Maybe  that's  what  it  is. ,0,neutral,0.0,0.0,0.0,0.0,0.0
312,Maybe  that's  what  we  need  to ,0,neutral,0.259896,0.055076,0.206696,0.061779,0.100119
313,"tell  them, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
314,honey. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
315,They  know  that  they  just  don't  want  to  do  it ,-0.552127,negative,0.177333,0.127026,0.128148,0.068885,0.089976
316,anyway. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
317,"They  know  that  they  don't  have  the  money  for  those  things, ",0,neutral,0.240013,0.266794,0.166469,0.170473,0.287459
318,but  like  they  do  it  anyway. ,0.698065,positive,0.393276,0.370098,0.059971,0.03774,0.208842
319,the  way  that  I  like  to  approach  that  thing  is  to  help  him  out  maybe. ,0,neutral,0.206984,0.326133,0.275199,0.016392,0.043148
320,Right. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
321,"I  know  you  talked  to  them  before  about, ",0,neutral,0.271689,0.079434,0.170938,0.079426,0.135475
322,"you  know, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
323,living  within  their  means. ,0,neutral,0.122806,0.421792,0.103096,0.037784,0.013081
324,You  have  talked  to  them  and ,0,neutral,0.0,0.0,0.0,0.0,0.0
325,but  they  don't  listen. ,-0.849251,negative,0.151545,0.174219,0.093654,0.072945,0.08686
326,I  don't  think  they're  will  listen  now. ,-0.443537,negative,0.073567,0.449717,0.069727,0.065123,0.115953
327,I  don't  see  why  they  will  listen  now. ,-0.634455,negative,0.105402,0.518517,0.095861,0.056098,0.081667
328,Not  before. ,0,neutral,0.0,0.0,0.0,0.0,0.0
329,People  don't  change  overnight  like  that. ,-0.793473,negative,0.154038,0.317375,0.080807,0.106211,0.089511
330,They  just  don't. ,-0.588268,negative,0.0,0.0,0.0,0.0,0.0
331,It's  gonna  stay  that  way. ,0,neutral,0.189828,0.433384,0.15992,0.050638,0.218386
332,Same  thing  happened  with  Rachel. ,0,neutral,0.367333,0.15958,0.116935,0.102488,0.122306
333,She  didn't  change. ,0,neutral,0.148831,0.179551,0.091248,0.074744,0.088473
334,She  still  hasn't  changed. ,-0.736466,negative,0.175747,0.171627,0.121217,0.074744,0.088473
335,"yeah, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
336,they  just  don't  change. ,0,neutral,0.151545,0.174219,0.093654,0.072945,0.08686
337,They  just  won't  pay  you  back. ,-0.638811,negative,0.419003,0.205637,0.155366,0.044727,0.122666
338,They  just  go  spend  some  money. ,0,neutral,0.381747,0.223819,0.166027,0.152891,0.211046
339,You  give  them  something  and  they  will  spend  it. ,0.619636,positive,0.310626,0.357958,0.119592,0.062643,0.188791
340,They  don't  pay  you  back. ,-0.644532,negative,0.419003,0.205637,0.155366,0.044727,0.122666
341,Hollis. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
342,"I  don't  think  you'll  do  any  good, ",-0.824008,negative,0.027892,0.93632,0.020599,0.002489,0.007983
343,but  I'll  go  along. ,0.438447,positive,0.180837,0.177454,0.184237,0.04777,0.126544
344,I  always  do. ,0.731897,positive,0.0,0.0,0.0,0.0,0.0
345,"Oh  well, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
346,"I  mean  maybe  you're  right, ",0,neutral,0.156657,0.133795,0.115858,0.057657,0.130413
347,"but  until  we  could  give  it  a  try, ",0,neutral,0.199684,0.31638,0.141489,0.038383,0.080682
348,I  am ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
349,always  go  along  with  it. ,0.526238,positive,0.217244,0.216788,0.144614,0.044668,0.144895
350,Whatever. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
351,what? ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
352,What  else  choice  do  we  <inaudible> ,0,neutral,0.294253,0.364965,0.161402,0.026992,0.076825
353,"I  don't  know, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
354,but  we  have  any  other  choice. ,0,neutral,0.0,0.0,0.0,0.0,0.0
355,"Well, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
356,"you  could  talk  to  them, ",0,neutral,0.278428,0.134081,0.195456,0.068845,0.108498
357,"you  know, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
358,and  explain  to  them  that  we  need  to  get  the  payment. ,0,neutral,0.153897,0.0138,0.202019,0.153622,0.231543
359,how  can  they  pay  you  when  they  don't  have  the  money? ,0,neutral,0.16639,0.083792,0.095802,0.275195,0.253201
360,They  could  spend  less  on  some  other  things. ,0,neutral,0.548399,0.195208,0.245097,0.034317,0.14408
361,"Oh  honey, ",0.305371,positive,0.098895,0.626399,0.064315,0.030953,0.027163
362,you  tell? ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
363,need  to  buy  a  piano? ,0,neutral,0.192001,0.298589,0.137946,0.119179,0.105765
364,"on, ",NaN,NaN,NaN,NaN,NaN,NaN,NaN
365,Virginia. ,NaN,NaN,NaN,NaN,NaN,NaN,NaN
366,You  can't  tell  people  that. ,-0.486607,negative,0.148831,0.178038,0.091248,0.08689,0.088473
367,"They're  just, ",0,neutral,0.0,0.0,0.0,0.0,0.0
368,they  just  block  you  out. ,0,neutral,0.711608,0.0,0.767442,0.0,0.813212
369,Why  don't  you  try  and  do  some  psychology  on  them  and  hope  that  they  will  help  or  you  can  do  that.,0,neutral,0.089421,0.081739,0.104776,0.004799,0.017521
